info,title,price,area,time,unitPrice
"低层（共7层）,|,毛坯,|,朝南,|,0建成,[,],-, 美政花苑",美政花苑 1室 0厅 0卫  面积21.02㎡,23787元/平米,上城 复兴,挂牌时间：2018-11-06,23787元/平米
,,,,,
"中层（共7层）,|,精装修,|,朝南,|,1998建成,[,],-, 耀江福村",耀江福村 3室 2厅 2卫  面积99.8㎡,53106元/平米,上城 近江,挂牌时间：2018-11-06,53106元/平米
"中层（共17层）,|,毛坯,|,朝南,|,2007建成,[,],-, 金都华府",金都华府 3室 2厅 2卫  面积158.84㎡,56976元/平米,上城 望江,挂牌时间：2018-11-06,56976元/平米
"低层（共19层）,|,毛坯,|,朝南,|,0建成,[,],-, 绿城春江花月",绿城春江花月 3室 2厅 2卫  面积140.98㎡,60292元/平米,上城 南星,挂牌时间：2018-11-06,60292元/平米
"中层（共26层）,|,精装修,|,朝南,|,2013建成,[,],-, 绿城·蓝色钱江",绿城·蓝色钱江 1室 1厅 1卫  面积53.74㎡,46520元/平米,上城 望江,挂牌时间：2018-11-06,46520元/平米
"高层（共7层）,|,毛坯,|,朝南,|,0建成,[,],-, 复兴南苑",复兴南苑 1室 1厅 1卫  面积35.48㎡,35231元/平米,上城 复兴,挂牌时间：2018-11-05,35231元/平米
"高层（共21层）,|,毛坯,|,朝南,|,2017建成,[,],-, 钱江御府",钱江御府 3室 2厅 2卫  面积89.49㎡,78221元/平米,上城 望江,挂牌时间：2018-11-05,78221元/平米
"低层（共7层）,|,毛坯,|,朝南,|,1998建成,[,],-, 复兴南苑",复兴南苑 2室 1厅 1卫  面积48.31㎡,47195元/平米,上城 复兴,挂牌时间：2018-11-05,47195元/平米
"低层（共8层）,|,毛坯,|,朝南,|,0建成,[,],-, 复兴南苑",复兴南苑 2室 1厅 1卫  面积54.88㎡,46465元/平米,上城 复兴,挂牌时间：2018-11-05,46465元/平米
"中层（共25层）,|,精装修,|,朝南,|,2005建成,[,],-, 凤凰南苑",凤凰南苑 1室 1厅 1卫  面积55.25㎡,46154元/平米,上城 南星,挂牌时间：2018-11-05,46154元/平米
"高层（共7层）,|,毛坯,|,朝南,|,0建成,[,],-, 世纪坊",世纪坊 2室 1厅 1卫  面积76.1㎡,49934元/平米,上城 近江,挂牌时间：2018-11-05,49934元/平米
"中层（共22层）,|,毛坯,|,朝南,|,2005建成,[,],-, 复兴南苑",复兴南苑 2室 2厅 1卫  面积119.94㎡,49025元/平米,上城 复兴,挂牌时间：2018-11-02,49025元/平米
